n,schedule,basis,rounds,idle,cnot_depth,undetected_single_fault_signatures,circuit_fault_distance
60,coloration,X,3,True,116,27,1
60,coloration,Z,1,False,116,27,1
60,coloration,Z,1,True,116,27,1
60,coloration,Z,2,False,116,27,1
60,coloration,Z,2,True,116,27,1
60,coloration,Z,3,False,116,27,1
60,coloration,Z,3,True,116,27,1
62,dedicated,X,1,False,64,0,2
62,dedicated,X,1,True,64,0,2
62,dedicated,X,2,False,64,0,2
62,dedicated,X,2,True,64,0,2
62,dedicated,X,3,False,64,0,2
62,dedicated,X,3,True,64,0,2
62,dedicated,Z,1,False,64,0,2
62,dedicated,Z,1,True,64,0,2
62,dedicated,Z,2,False,64,0,2
62,dedicated,Z,2,True,64,0,2
62,dedicated,Z,3,False,64,0,2
62,dedicated,Z,3,True,64,0,2
62,coloration,X,1,False,120,28,1
62,coloration,X,1,True,120,28,1
62,coloration,X,2,False,120,28,1
62,coloration,X,2,True,120,28,1
62,coloration,X,3,False,120,28,1
62,coloration,X,3,True,120,28,1
62,coloration,Z,1,False,120,28,1
62,coloration,Z,1,True,120,28,1
62,coloration,Z,2,False,120,28,1
62,coloration,Z,2,True,120,28,1
62,coloration,Z,3,False,120,28,1
62,coloration,Z,3,True,120,28,1
64,dedicated,X,1,False,66,0,2
64,dedicated,X,1,True,66,0,2
64,dedicated,X,2,False,66,0,2
64,dedicated,X,2,True,66,0,2
64,dedicated,X,3,False,66,0,2
64,dedicated,X,3,True,66,0,2
64,dedicated,Z,1,False,66,0,2
64,dedicated,Z,1,True,66,0,2
64,dedicated,Z,2,False,66,0,2
64,dedicated,Z,2,True,66,0,2
64,dedicated,Z,3,False,66,0,2
64,dedicated,Z,3,True,66,0,2
64,coloration,X,1,False,124,29,1
64,coloration,X,1,True,124,29,1
64,coloration,X,2,False,124,29,1
64,coloration,X,2,True,124,29,1
64,coloration,X,3,False,124,29,1
64,coloration,X,3,True,124,29,1
64,coloration,Z,1,False,124,29,1
64,coloration,Z,1,True,124,29,1
64,coloration,Z,2,False,124,29,1
64,coloration,Z,2,True,124,29,1
64,coloration,Z,3,False,124,29,1
64,coloration,Z,3,True,124,29,1
